,Model,Substância,cm_0,cm_1,cm_2,cm_3,cm_4,cm_5,cm_6,cm_7,cm_8
2030,RandomForestClassifier,LSD,120,12,1,27,12,0,11,5,0
2031,RandomForestClassifier,LSD,126,6,1,27,10,2,8,7,1
2032,RandomForestClassifier,LSD,127,6,0,24,14,1,10,6,0
2033,RandomForestClassifier,LSD,128,5,0,26,12,1,8,8,0
2034,RandomForestClassifier,LSD,122,11,0,26,11,1,9,7,1
2035,RandomForestClassifier,LSD,128,4,1,27,11,0,10,7,0
2036,RandomForestClassifier,LSD,114,17,1,25,12,2,9,8,0
2037,RandomForestClassifier,LSD,123,8,1,23,14,2,11,4,1
2038,RandomForestClassifier,LSD,117,12,3,28,11,0,9,7,0
2039,RandomForestClassifier,LSD,121,10,1,24,14,1,10,5,1
2040,RandomForestClassifier,Meth,145,2,0,23,1,0,17,0,0
2041,RandomForestClassifier,Meth,146,1,0,24,0,0,17,0,0
2042,RandomForestClassifier,Meth,146,0,1,24,0,0,16,1,0
2043,RandomForestClassifier,Meth,144,2,0,24,1,0,16,0,1
2044,RandomForestClassifier,Meth,146,0,0,25,0,0,15,1,1
2045,RandomForestClassifier,Meth,146,0,0,25,0,0,14,1,2
2046,RandomForestClassifier,Meth,146,0,0,24,0,0,15,0,3
2047,RandomForestClassifier,Meth,145,0,1,22,2,0,17,0,0
2048,RandomForestClassifier,Meth,145,0,1,24,0,0,17,0,0
2049,RandomForestClassifier,Meth,144,1,1,22,2,0,16,1,0
2050,RandomForestClassifier,Meth,145,1,1,22,1,1,17,0,0
2051,RandomForestClassifier,Meth,146,0,1,23,1,0,17,0,0
2052,RandomForestClassifier,Meth,146,1,0,23,1,0,16,0,1
2053,RandomForestClassifier,Meth,144,2,0,25,0,0,15,1,1
2054,RandomForestClassifier,Meth,144,1,1,24,1,0,17,0,0
2055,RandomForestClassifier,Meth,144,2,0,23,1,1,15,0,2
2056,RandomForestClassifier,Meth,145,1,0,24,0,0,16,1,1
2057,RandomForestClassifier,Meth,145,1,0,23,1,0,17,0,0
2058,RandomForestClassifier,Meth,146,0,0,22,2,0,16,0,1
2059,RandomForestClassifier,Meth,146,0,0,24,0,0,17,0,0
2060,RandomForestClassifier,Meth,146,1,0,21,3,0,17,0,0
2061,RandomForestClassifier,Meth,146,0,1,24,0,0,15,0,2
2062,RandomForestClassifier,Meth,140,6,1,23,0,1,17,0,0
2063,RandomForestClassifier,Meth,146,0,0,25,0,0,17,0,0
2064,RandomForestClassifier,Meth,144,2,0,21,4,0,16,0,1
2065,RandomForestClassifier,Meth,145,1,0,23,2,0,15,0,2
2066,RandomForestClassifier,Meth,146,0,0,24,0,0,17,0,1
2067,RandomForestClassifier,Meth,146,0,0,23,1,0,16,0,1
2068,RandomForestClassifier,Meth,144,1,1,23,1,0,16,0,1
2069,RandomForestClassifier,Meth,145,0,1,22,2,0,16,1,0
2070,RandomForestClassifier,Mushrooms,95,24,0,31,22,1,7,7,1
2071,RandomForestClassifier,Mushrooms,106,13,0,35,17,1,3,13,0
2072,RandomForestClassifier,Mushrooms,98,21,0,27,26,0,6,9,1
2073,RandomForestClassifier,Mushrooms,99,20,0,29,24,0,4,12,0
2074,RandomForestClassifier,Mushrooms,102,16,1,31,21,1,10,6,0
2075,RandomForestClassifier,Mushrooms,102,17,0,22,30,1,3,12,1
2076,RandomForestClassifier,Mushrooms,95,24,0,23,30,0,6,10,0
2077,RandomForestClassifier,Mushrooms,102,17,0,25,27,1,6,9,0
2078,RandomForestClassifier,Mushrooms,105,13,1,28,25,0,4,11,0
2079,RandomForestClassifier,Mushrooms,99,20,0,31,19,3,4,10,1
2080,RandomForestClassifier,Mushrooms,103,15,1,27,27,0,4,11,0
2081,RandomForestClassifier,Mushrooms,103,16,0,26,26,1,6,10,0
2082,RandomForestClassifier,Mushrooms,101,18,0,23,30,0,6,10,0
2083,RandomForestClassifier,Mushrooms,94,24,1,26,27,0,5,10,1
2084,RandomForestClassifier,Mushrooms,98,21,0,27,26,0,7,9,0
2085,RandomForestClassifier,Mushrooms,102,17,0,30,23,0,7,9,0
2086,RandomForestClassifier,Mushrooms,99,20,0,35,18,0,4,12,0
2087,RandomForestClassifier,Mushrooms,102,17,0,29,24,0,4,11,0
2088,RandomForestClassifier,Mushrooms,99,19,1,24,27,2,6,9,0
2089,RandomForestClassifier,Mushrooms,102,17,0,26,27,0,7,8,0
2090,RandomForestClassifier,Mushrooms,98,21,0,25,28,1,2,12,1
2091,RandomForestClassifier,Mushrooms,101,18,0,30,21,2,6,10,0
2092,RandomForestClassifier,Mushrooms,98,21,0,31,22,0,3,11,2
2093,RandomForestClassifier,Mushrooms,105,13,1,26,26,1,4,12,0
2094,RandomForestClassifier,Mushrooms,99,20,0,23,30,0,7,8,1
2095,RandomForestClassifier,Mushrooms,103,16,0,28,25,0,7,9,0
2096,RandomForestClassifier,Mushrooms,108,11,0,27,26,0,8,7,1
2097,RandomForestClassifier,Mushrooms,101,18,0,31,19,3,7,8,0
2098,RandomForestClassifier,Mushrooms,103,16,0,25,28,0,5,10,0
2099,RandomForestClassifier,Mushrooms,102,17,0,27,24,2,8,7,0
2100,RandomForestClassifier,Nicotine,42,1,19,13,3,23,16,4,67
2101,RandomForestClassifier,Nicotine,40,1,21,13,1,25,20,2,65
2102,RandomForestClassifier,Nicotine,36,2,24,15,1,23,16,7,64
2103,RandomForestClassifier,Nicotine,39,3,20,9,2,28,16,2,69
2104,RandomForestClassifier,Nicotine,31,2,29,15,1,23,12,2,73
2105,RandomForestClassifier,Nicotine,40,2,20,10,0,29,16,0,71
2106,RandomForestClassifier,Nicotine,43,1,19,13,1,25,26,0,60
2107,RandomForestClassifier,Nicotine,42,0,20,14,0,24,19,1,67
2108,RandomForestClassifier,Nicotine,35,3,24,11,1,26,23,2,62
2109,RandomForestClassifier,Nicotine,35,0,27,12,3,23,17,1,69
2110,RandomForestClassifier,Nicotine,42,1,19,8,1,30,14,3,70
2111,RandomForestClassifier,Nicotine,38,0,24,12,1,26,21,3,63
2112,RandomForestClassifier,Nicotine,38,1,23,17,0,22,26,3,58
2113,RandomForestClassifier,Nicotine,37,2,23,12,2,25,26,1,60
2114,RandomForestClassifier,Nicotine,37,3,22,16,0,23,13,3,71
2115,RandomForestClassifier,Nicotine,38,0,24,8,0,31,13,1,73
2116,RandomForestClassifier,Nicotine,33,0,30,9,1,29,14,1,71
2117,RandomForestClassifier,Nicotine,45,0,17,12,6,20,20,2,65
2118,RandomForestClassifier,Nicotine,42,3,17,12,2,24,28,0,59
2119,RandomForestClassifier,Nicotine,36,0,26,17,1,20,8,3,76
2120,RandomForestClassifier,Nicotine,36,1,25,12,0,27,20,0,67
2121,RandomForestClassifier,Nicotine,36,0,26,13,1,25,15,1,71
2122,RandomForestClassifier,Nicotine,43,2,17,14,2,23,16,1,70
2123,RandomForestClassifier,Nicotine,33,0,29,15,0,24,22,1,64
2124,RandomForestClassifier,Nicotine,35,3,24,10,4,25,22,7,58
2125,RandomForestClassifier,Nicotine,38,1,23,10,4,25,22,3,62
2126,RandomForestClassifier,Nicotine,38,0,25,14,0,25,21,0,65
2127,RandomForestClassifier,Nicotine,41,1,20,12,2,24,20,2,65
2128,RandomForestClassifier,Nicotine,37,1,24,15,2,21,18,3,66
2129,RandomForestClassifier,Nicotine,43,0,19,11,3,24,16,2,69
2130,RandomForestClassifier,VSA,165,1,0,19,0,0,3,0,0
2131,RandomForestClassifier,VSA,164,1,0,20,0,0,3,0,0
2132,RandomForestClassifier,VSA,165,0,0,20,0,0,3,0,0
2133,RandomForestClassifier,VSA,165,0,0,19,0,0,4,0,0
2134,RandomForestClassifier,VSA,164,1,0,18,1,0,4,0,0
2135,RandomForestClassifier,VSA,164,1,0,19,0,0,4,0,0
2136,RandomForestClassifier,VSA,165,0,0,18,1,0,4,0,0
2137,RandomForestClassifier,VSA,165,0,0,19,0,0,3,0,0
2138,RandomForestClassifier,VSA,165,0,0,19,0,0,3,0,0
2139,RandomForestClassifier,VSA,164,1,0,19,0,0,3,0,0
2140,RandomForestClassifier,VSA,166,0,0,19,0,0,3,0,0
2141,RandomForestClassifier,VSA,165,0,0,20,0,0,3,0,0
2142,RandomForestClassifier,VSA,164,1,0,20,0,0,3,0,0
2143,RandomForestClassifier,VSA,165,0,0,19,0,0,4,0,0
2144,RandomForestClassifier,VSA,164,1,0,19,0,0,4,0,0
2145,RandomForestClassifier,VSA,163,2,0,19,0,0,4,0,0
2146,RandomForestClassifier,VSA,165,0,0,19,0,0,4,0,0
2147,RandomForestClassifier,VSA,165,0,0,18,1,0,3,0,0
2148,RandomForestClassifier,VSA,165,0,0,19,0,0,3,0,0
2149,RandomForestClassifier,VSA,162,3,0,18,1,0,3,0,0
2150,RandomForestClassifier,VSA,166,0,0,19,0,0,3,0,0
2151,RandomForestClassifier,VSA,165,0,0,20,0,0,3,0,0
2152,RandomForestClassifier,VSA,163,2,0,19,1,0,3,0,0
2153,RandomForestClassifier,VSA,164,1,0,19,0,0,4,0,0
2154,RandomForestClassifier,VSA,165,0,0,19,0,0,4,0,0
2155,RandomForestClassifier,VSA,165,0,0,19,0,0,4,0,0
2156,RandomForestClassifier,VSA,164,1,0,19,0,0,4,0,0
2157,RandomForestClassifier,VSA,163,2,0,19,0,0,3,0,0
2158,RandomForestClassifier,VSA,165,0,0,19,0,0,3,0,0
2159,RandomForestClassifier,VSA,165,0,0,18,1,0,2,1,0
2160,KNeighborsClassifier,Alcohol,0,0,7,0,1,25,0,0,155
2161,KNeighborsClassifier,Alcohol,0,0,7,0,0,26,0,0,155
2162,KNeighborsClassifier,Alcohol,0,0,7,0,0,26,0,0,155
2163,KNeighborsClassifier,Alcohol,0,0,7,0,0,26,0,0,155
2164,KNeighborsClassifier,Alcohol,0,0,7,0,0,26,0,0,155
2165,KNeighborsClassifier,Alcohol,0,0,7,0,0,27,0,0,154
2166,KNeighborsClassifier,Alcohol,0,0,7,0,0,27,0,0,154
2167,KNeighborsClassifier,Alcohol,0,0,6,0,0,27,0,0,154
2168,KNeighborsClassifier,Alcohol,0,0,6,0,0,27,0,0,154
2169,KNeighborsClassifier,Alcohol,0,0,6,0,0,27,0,0,154
2170,KNeighborsClassifier,Alcohol,0,0,7,0,0,26,0,0,155
2171,KNeighborsClassifier,Alcohol,0,0,7,0,0,26,0,0,155
2172,KNeighborsClassifier,Alcohol,0,0,7,0,0,26,0,0,155
2173,KNeighborsClassifier,Alcohol,0,0,7,0,0,26,0,0,155
2174,KNeighborsClassifier,Alcohol,0,0,7,0,0,26,0,0,155
2175,KNeighborsClassifier,Alcohol,0,0,7,0,0,27,0,0,154
2176,KNeighborsClassifier,Alcohol,0,0,7,0,0,27,0,0,154
2177,KNeighborsClassifier,Alcohol,0,0,6,0,0,27,0,0,154
2178,KNeighborsClassifier,Alcohol,0,0,6,0,1,26,0,1,153
2179,KNeighborsClassifier,Alcohol,0,0,6,0,0,27,0,0,154
2180,KNeighborsClassifier,Alcohol,0,0,7,0,0,26,0,0,155
2181,KNeighborsClassifier,Alcohol,0,0,7,0,0,26,0,0,155
2182,KNeighborsClassifier,Alcohol,0,0,7,0,0,26,0,0,155
2183,KNeighborsClassifier,Alcohol,0,0,7,0,0,26,0,0,155
2184,KNeighborsClassifier,Alcohol,0,0,7,0,0,26,0,0,155
2185,KNeighborsClassifier,Alcohol,0,0,7,0,0,27,0,0,154
2186,KNeighborsClassifier,Alcohol,0,0,7,0,0,27,0,0,154
2187,KNeighborsClassifier,Alcohol,0,0,6,0,0,27,0,0,154
2188,KNeighborsClassifier,Alcohol,0,0,6,0,0,27,0,0,154
2189,KNeighborsClassifier,Alcohol,0,0,6,0,1,26,0,2,152
2190,KNeighborsClassifier,Amphet,113,5,2,26,17,1,17,6,1
2191,KNeighborsClassifier,Amphet,112,6,2,30,10,4,14,6,4
2192,KNeighborsClassifier,Amphet,104,14,2,34,10,0,15,8,1
2193,KNeighborsClassifier,Amphet,101,16,3,32,11,1,12,9,3
2194,KNeighborsClassifier,Amphet,104,11,5,31,8,5,17,6,1
2195,KNeighborsClassifier,Amphet,103,14,3,33,9,2,16,7,1
2196,KNeighborsClassifier,Amphet,108,12,0,31,7,6,14,6,4
2197,KNeighborsClassifier,Amphet,105,14,2,35,8,0,15,4,4
2198,KNeighborsClassifier,Amphet,114,7,0,29,13,1,16,7,0
2199,KNeighborsClassifier,Amphet,110,10,1,32,7,4,10,10,3
2200,KNeighborsClassifier,Amphet,109,10,1,29,14,1,15,7,2
2201,KNeighborsClassifier,Amphet,104,14,2,28,14,2,12,5,7
2202,KNeighborsClassifier,Amphet,106,13,1,34,8,2,16,8,0
2203,KNeighborsClassifier,Amphet,109,8,3,30,11,3,11,12,1
2204,KNeighborsClassifier,Amphet,106,10,4,27,15,2,11,6,7
