,Model,Substância,cm_0,cm_1,cm_2,cm_3
1185,BernoulliNB,Benzos,86,26,36,40
1186,BernoulliNB,Benzos,86,26,33,43
1187,BernoulliNB,Benzos,82,29,38,38
1188,BernoulliNB,Benzos,85,26,31,45
1189,BernoulliNB,Benzos,87,24,45,31
1190,BernoulliNB,Benzos,85,26,41,36
1191,BernoulliNB,Benzos,86,25,33,44
1192,BernoulliNB,Benzos,85,27,37,39
1193,BernoulliNB,Benzos,90,22,41,35
1194,BernoulliNB,Benzos,90,22,33,43
1195,BernoulliNB,Benzos,82,30,34,42
1196,BernoulliNB,Benzos,85,27,35,41
1197,BernoulliNB,Benzos,83,28,39,37
1198,BernoulliNB,Benzos,81,30,29,47
1199,BernoulliNB,Benzos,86,25,41,35
1200,BernoulliNB,Caff,0,4,0,184
1201,BernoulliNB,Caff,0,4,0,184
1202,BernoulliNB,Caff,0,4,0,184
1203,BernoulliNB,Caff,0,4,0,184
1204,BernoulliNB,Caff,0,4,0,184
1205,BernoulliNB,Caff,0,4,0,184
1206,BernoulliNB,Caff,0,4,0,184
1207,BernoulliNB,Caff,0,3,0,184
1208,BernoulliNB,Caff,0,3,0,184
1209,BernoulliNB,Caff,0,3,0,184
1210,BernoulliNB,Caff,0,4,0,184
1211,BernoulliNB,Caff,0,4,0,184
1212,BernoulliNB,Caff,0,4,0,184
1213,BernoulliNB,Caff,0,4,0,184
1214,BernoulliNB,Caff,0,4,0,184
1215,BernoulliNB,Caff,0,4,0,184
1216,BernoulliNB,Caff,0,4,0,184
1217,BernoulliNB,Caff,0,3,0,184
1218,BernoulliNB,Caff,0,3,0,184
1219,BernoulliNB,Caff,0,3,0,184
1220,BernoulliNB,Caff,0,4,0,184
1221,BernoulliNB,Caff,0,4,0,184
1222,BernoulliNB,Caff,0,4,0,184
1223,BernoulliNB,Caff,0,4,0,184
1224,BernoulliNB,Caff,0,4,0,184
1225,BernoulliNB,Caff,0,4,0,184
1226,BernoulliNB,Caff,0,4,0,184
1227,BernoulliNB,Caff,0,3,0,184
1228,BernoulliNB,Caff,0,3,0,184
1229,BernoulliNB,Caff,0,3,0,184
1230,BernoulliNB,Cannabis,48,14,29,97
1231,BernoulliNB,Cannabis,52,10,26,100
1232,BernoulliNB,Cannabis,43,19,26,100
1233,BernoulliNB,Cannabis,30,32,17,109
1234,BernoulliNB,Cannabis,43,19,29,97
1235,BernoulliNB,Cannabis,37,25,24,102
1236,BernoulliNB,Cannabis,41,21,31,95
1237,BernoulliNB,Cannabis,36,26,20,105
1238,BernoulliNB,Cannabis,43,19,27,98
1239,BernoulliNB,Cannabis,44,18,28,97
1240,BernoulliNB,Cannabis,37,25,16,110
1241,BernoulliNB,Cannabis,38,24,29,97
1242,BernoulliNB,Cannabis,41,21,27,99
1243,BernoulliNB,Cannabis,45,17,29,97
1244,BernoulliNB,Cannabis,48,14,24,102
1245,BernoulliNB,Cannabis,44,18,25,101
1246,BernoulliNB,Cannabis,45,17,26,100
1247,BernoulliNB,Cannabis,41,21,32,93
1248,BernoulliNB,Cannabis,39,23,28,97
1249,BernoulliNB,Cannabis,43,19,18,107
1250,BernoulliNB,Cannabis,40,22,35,91
1251,BernoulliNB,Cannabis,41,21,24,102
1252,BernoulliNB,Cannabis,41,21,26,100
1253,BernoulliNB,Cannabis,37,25,16,110
1254,BernoulliNB,Cannabis,44,18,22,104
1255,BernoulliNB,Cannabis,45,17,29,97
1256,BernoulliNB,Cannabis,41,21,31,95
1257,BernoulliNB,Cannabis,48,14,39,86
1258,BernoulliNB,Cannabis,38,24,17,108
1259,BernoulliNB,Cannabis,43,19,27,98
1260,BernoulliNB,Choc,0,3,0,185
